fips,population,county,state,old_rate,rate,typology
21219,12460,Todd County,Kentucky,-1.741573034,-0.01741573,Evangelical Hubs
21221,14339,Trigg County,Kentucky,-1.938768394,-0.019387684,Evangelical Hubs
21223,8809,Trimble County,Kentucky,-3.802928823,-0.038029288,Working Class Country
21225,15007,Union County,Kentucky,-8.922502832,-0.089225028,Evangelical Hubs
21227,113792,Warren County,Kentucky,18.24557087,0.182455709,College Towns
21229,11717,Washington County,Kentucky,2.645728429,0.026457284,Rural Middle America
21231,20813,Wayne County,Kentucky,-6.044299236,-0.060442992,Evangelical Hubs
21233,13621,Webster County,Kentucky,-4.434329344,-0.044343293,Evangelical Hubs
21235,35637,Whitley County,Kentucky,3.016527766,0.030165278,Evangelical Hubs
21237,7355,Wolfe County,Kentucky,-10.7817811,-0.107817811,Evangelical Hubs
21239,24939,Woodford County,Kentucky,7.746902442,0.077469024,Exurbs
22001,61773,Acadia Parish,Louisiana,-6.794230489,-0.067942305,Working Class Country
22003,25764,Allen Parish,Louisiana,-11.69849402,-0.11698494,Working Class Country
22005,107215,Ascension Parish,Louisiana,17.98722194,0.179872219,Urban Burbs
22007,23421,Assumption Parish,Louisiana,-10.17035993,-0.101703599,Working Class Country
22009,42073,Avoyelles Parish,Louisiana,-5.656834549,-0.056568345,African American South
22011,35654,Beauregard Parish,Louisiana,2.510237281,0.025102373,Working Class Country
22013,14353,Bienville Parish,Louisiana,-9.558977217,-0.095589772,African American South
22015,116979,Bossier Parish,Louisiana,10.05907043,0.100590704,Military Posts
22017,254969,Caddo Parish,Louisiana,-6.714933972,-0.06714934,African American South
22019,192768,Calcasieu Parish,Louisiana,12.45901809,0.124590181,Military Posts
22021,10132,Caldwell Parish,Louisiana,-4.806553494,-0.048065535,Working Class Country
22023,6839,Cameron Parish,Louisiana,-17.86810937,-0.178681094,Working Class Country
22025,10407,Catahoula Parish,Louisiana,-14.42298453,-0.144229845,African American South
22027,17195,Claiborne Parish,Louisiana,-17.59232335,-0.175923234,African American South
22029,20822,Concordia Parish,Louisiana,-10.25357795,-0.10253578,African American South
22031,26656,De Soto Parish,Louisiana,0.585234094,0.005852341,African American South
22033,440171,East Baton Rouge Parish,Louisiana,3.773533468,0.037735335,African American South
22035,7759,East Carroll Parish,Louisiana,-3.866477639,-0.038664776,African American South
22037,20267,East Feliciana Parish,Louisiana,-3.592046183,-0.035920462,Working Class Country
22039,33984,Evangeline Parish,Louisiana,-4.808145009,-0.04808145,African American South
22041,20767,Franklin Parish,Louisiana,-4.781624693,-0.047816247,African American South
22043,22309,Grant Parish,Louisiana,-0.62754942,-0.006275494,Working Class Country
22045,73240,Iberia Parish,Louisiana,-4.520753687,-0.045207537,African American South
22047,33387,Iberville Parish,Louisiana,-9.422829245,-0.094228292,African American South
22049,16274,Jackson Parish,Louisiana,-7.637950104,-0.076379501,African American South
22051,432552,Jefferson Parish,Louisiana,1.902430228,0.019024302,College Towns
22053,31594,Jefferson Davis Parish,Louisiana,2.07634361,0.020763436,Working Class Country
22055,221578,Lafayette Parish,Louisiana,9.105145818,0.091051458,College Towns
22057,96318,Lafourche Parish,Louisiana,1.28636392,0.012863639,Working Class Country
22059,14890,LaSalle Parish,Louisiana,-0.664875756,-0.006648758,Evangelical Hubs
22061,46735,Lincoln Parish,Louisiana,3.554081523,0.035540815,College Towns
22063,128026,Livingston Parish,Louisiana,11.13523815,0.111352382,Working Class Country
22065,12093,Madison Parish,Louisiana,-17.16695609,-0.171669561,African American South
22067,27979,Morehouse Parish,Louisiana,-8.39915651,-0.083991565,African American South
22069,39566,Natchitoches Parish,Louisiana,-5.183743618,-0.051837436,African American South
22071,343829,Orleans Parish,Louisiana,11.6825515,0.116825515,African American South
22073,153720,Ouachita Parish,Louisiana,4.324746292,0.043247463,African American South
22075,23042,Plaquemines Parish,Louisiana,2.052773197,0.020527732,Working Class Country
22077,22802,Pointe Coupee Parish,Louisiana,-8.964125954,-0.08964126,African American South
22079,131613,Rapides Parish,Louisiana,-1.208087347,-0.012080873,African American South
22081,9091,Red River Parish,Louisiana,-16.18083819,-0.161808382,African American South
22083,20725,Richland Parish,Louisiana,-3.290711701,-0.032907117,African American South
22085,24233,Sabine Parish,Louisiana,-8.575083564,-0.085750836,Working Class Country
